CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Salary,Churn
632,Germany,Female,50,5,107959.39,1,1,1,6985,1
649,France,Female,42,7,0.0,2,0,1,22974,0
595,France,Male,29,6,150685.79,1,1,0,87771,0
653,Spain,Male,35,6,116662.96,2,1,1,23864,0
559,Spain,Female,40,7,144470.77,1,1,1,18918,0
555,France,Male,24,5,0.0,2,1,0,27513,0
709,Germany,Male,45,4,122917.71,1,1,1,12,1
561,France,Female,27,9,135637.0,1,1,0,153080,1
845,Spain,Female,38,2,112803.92,1,1,0,179632,0
611,France,Male,28,2,0.0,2,0,0,25396,0
751,Spain,Male,33,4,79281.61,1,1,0,117548,0
660,Germany,Male,35,8,58641.43,1,0,1,198674,0
654,France,Male,40,6,0.0,1,0,0,183873,1
702,France,Male,37,10,150525.8,1,1,1,94728,0
836,France,Female,29,9,133681.78,1,1,1,153748,0
643,France,Male,45,5,0.0,1,1,0,142514,1
635,France,Male,33,1,0.0,3,0,0,178067,1
598,Spain,Male,34,0,104488.17,1,0,1,43250,0
646,Germany,Female,35,1,121952.75,2,1,1,142840,0
620,Spain,Male,21,9,0.0,2,0,0,154883,0
815,France,Female,56,3,0.0,3,1,1,94248,1
703,Germany,Female,29,3,122084.63,1,0,1,82824,0
536,Germany,Female,44,4,121898.82,1,0,0,131007,0
723,Germany,Female,49,0,153855.52,1,1,1,180862,1
613,Germany,Female,50,5,101242.98,2,1,0,12494,0
577,Spain,Male,28,7,0.0,1,1,0,143274,0
647,France,Male,32,5,97041.16,1,1,1,23133,0
716,Germany,Male,27,1,122552.34,2,1,0,67611,0
732,France,Male,55,9,136576.02,1,0,1,3268,1
668,Germany,Female,37,6,167864.4,1,1,0,115638,0
628,Spain,Male,28,4,0.0,2,1,1,176751,0
661,France,Male,41,5,0.0,1,0,1,88280,0
497,France,Male,34,2,0.0,2,1,1,83087,0
521,Spain,Female,39,3,146408.68,1,0,0,72994,0
596,Spain,Male,32,4,0.0,2,0,1,146504,0
696,France,Male,27,4,87637.26,2,0,0,196111,0
630,France,Male,43,9,0.0,2,1,1,34338,0
740,Germany,Female,57,3,113386.36,2,1,1,65122,1
617,France,Male,41,7,0.0,2,0,1,14497,0
